code,name,item_group,kind,price_unit,spil_calc_unit,spil_stock_unit,station,thickness_mm,performed_by,stage,affects_size,allowance_w_in,allowance_h_in,price,review,note
CERM FRIT - GRADIENT,CERAMIC FRIT -PARTIAL COVERAGE - GRADIENT PATTERN ONLY,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,in_house,,,,,,"МЁРТВАЯ ПОЗИЦИЯ — такого силкскрина нет: только точки 2x2, 4x4, 2x4 и два цвета",
CERM FRIT-GRADIENT/DOTS,CERAMIC FRIT -PARTIAL COVERAGE - GRADIENT PATTERN + DOTS,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,6,in_house,,,,,,"МЁРТВАЯ ПОЗИЦИЯ — такого силкскрина нет: только точки 2x2, 4x4, 2x4 и два цвета",
"5/8""x1/4"" WHITE MUNTIN BAR","5/8""x1/4"" WHITE MUNTIN BAR",GLASS SERVICES,material,each,Flat,EACH,,15,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов; поле «толщина» = 15 — это профиль бара, а не толщина стекла",
"5/8""x1/4"" BLACK & WHITE MUNTIN BAR","5/8""x1/4"" BLACK & WHITE MUNTIN BAR",GLASS SERVICES,material,each,Flat,EACH,,15,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов; поле «толщина» = 15 — это профиль бара, а не толщина стекла",
"1""x1/4"" BLACK MUNTIN BAR","1""x1/4"" BLACK MUNTIN BAR",GLASS SERVICES,material,each,Flat,EACH,,15,,,,,,,"это МАТЕРИАЛ, а не услуга — в каталог материалов; поле «толщина» = 15 — это профиль бара, а не толщина стекла",
"CF — Bird-friendly Pattern 215 2x2""",CF — Bird-friendly Pattern 215 2’’ x 2’’ – 5mm Dots,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,0.01,in_house,,,,,,,"живая позиция: точки 5мм, узоры 2x2 / 4x4 / 2x4, цвета white и acid etch"
"CF — Bird-friendly Pattern 216 4x4""",CF — Bird-friendly Pattern 216 4’’ x 4’’ – 5mm Dots,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,0.01,in_house,,,,,,,"живая позиция: точки 5мм, узоры 2x2 / 4x4 / 2x4, цвета white и acid etch"
"CF — Bird-friendly Pattern 217 2x4""",CF — Bird-friendly Pattern 217 2’’ x 4’’ – 5mm Dots,GLASS SERVICES,operation,ft2,Area,SF,CERPAINT,0.01,in_house,,,,,,,"живая позиция: точки 5мм, узоры 2x2 / 4x4 / 2x4, цвета white и acid etch"
HSK STAMP,HEAT SOAK STAMP,OTHER,operation,each,Flat,EACH,TEMP,,in_house,post_temper,,,,,,"отдельная машина после закалки, по запросу клиента"
LAM-TEST,Lamination-TEST,GLASS SERVICES,operation,ft2,Area,SF,LAM,,in_house,,,,,,,
